"chr"	"start"	"end"	"strand"	"name"
"8402"	"chrX"	49042985	49043986	"-"	"TFE3"
"8462"	"chr20"	49277925	49278926	"-"	"ZNFX1"
"8511"	"chr19"	49495864	49496865	"+"	"RPS11"
"8591"	"chr12"	49828249	49829250	"-"	"NCKAP5L"
"8669"	"chr17"	50150129	50151130	"-"	"PPP1R9B"
"8672"	"chr20"	50153233	50154234	"-"	"TMEM189"
"8758"	"chr20"	50509820	50510821	"+"	"PTPN1"
"8770"	"chr22"	50547532	50548533	"+"	"KLHDC7B"
"8861"	"chr12"	51083163	51084164	"-"	"CSRNP2"
"9015"	"chr12"	52191499	52192500	"-"	"KRT80"
"9293"	"chrX"	54048457	54049458	"-"	"PHF8"
"9498"	"chr4"	55395456	55396457	"+"	"TMEM165"
"9595"	"chr8"	55879312	55880313	"+"	"LYN"
"9847"	"chr16"	57284186	57285187	"-"	"PLLP"
"9860"	"chr16"	57358271	57359272	"+"	"CCL22"
"9866"	"chr15"	57375466	57376467	"+"	"CGNL1"
"9881"	"chr18"	57435184	57436185	"+"	"ONECUT2"
"9902"	"chr12"	57520209	57521210	"+"	"MBD6"
"9906"	"chr16"	57536098	57537099	"-"	"CCDC102A"
"9949"	"chr20"	57711035	57712036	"-"	"PMEPA1"
"9962"	"chr11"	57752742	57753743	"+"	"CTNND1"
"9982"	"chr2"	57907150	57908151	"+"	"VRK2"
"9995"	"chr8"	57994008	57995009	"+"	"FAM110B"
"10137"	"chr20"	59031881	59032882	"-"	"ATP5E"
"10192"	"chr10"	59735501	59736502	"-"	"SLC16A9"
"10262"	"chr5"	60843888	60844889	"-"	"ELOVL7"
"10345"	"chr11"	61967159	61968160	"-"	"FTH1"
"10488"	"chr15"	63381660	63382661	"-"	"CA12"
"10961"	"chr15"	67063262	67064263	"+"	"SMAD3"
"11032"	"chrX"	67543531	67544532	"+"	"AR"
"11304"	"chr16"	69754439	69755440	"-"	"NOB1"
"11341"	"chr15"	70097675	70098676	"-"	"TLE3"
"11652"	"chr3"	72996284	72997285	"+"	"PPP4R2"
"11767"	"chr10"	73743883	73744884	"+"	"SEC24C"
"11813"	"chr15"	73994172	73995173	"+"	"PML"
"11889"	"chr2"	74464909	74465910	"-"	"MOGS"
"12219"	"chr7"	76461175	76462176	"+"	"DTX2"
"12255"	"chr4"	76897646	76898647	"-"	"SOWAHB"
"12268"	"chr14"	77028198	77029199	"-"	"IRF2BPL"
"12546"	"chr10"	80453665	80454666	"+"	"TSPAN14"
"12554"	"chr5"	80569987	80570988	"-"	"ANKRD34B"
"12618"	"chr17"	81647964	81648965	"-"	"NPLOC4"
"12798"	"chr10"	84328085	84329086	"+"	"CCSER2"
"12968"	"chr11"	86954890	86955891	"-"	"FZD4"
"13061"	"chr4"	88230821	88231822	"-"	"ABCG2"
"13073"	"chr16"	88426970	88427971	"+"	"ZNF469"
"13108"	"chr16"	88784710	88785711	"-"	"PIEZO1"
"13126"	"chr16"	88976703	88977704	"-"	"CBFA2T3"
"13130"	"chr9"	88990946	88991947	"+"	"S1PR3"
"13209"	"chr8"	89757246	89758247	"+"	"RIPK2"
"13220"	"chr16"	89873069	89874070	"+"	"TCF25"
"13334"	"chr14"	91867035	91868036	"-"	"TC2N"
"13397"	"chr7"	92836093	92837094	"-"	"CDK6"
"13469"	"chr1"	93846649	93847650	"-"	"BCAR3"
"13744"	"chr13"	97220933	97221934	"+"	"MBNL2"
"13962"	"chr4"	99816332	99817333	"+"	"DAPP1"
"13995"	"chr3"	100114012	100115013	"-"	"FILIP1L"
"14107"	"chr7"	100827020	100828021	"-"	"EPHB4"
"14213"	"chr2"	101696349	101697350	"+"	"MAP4K4"
"14496"	"chr14"	104689105	104690106	"+"	"INF2"
"14585"	"chr12"	106303778	106304779	"-"	"CKAP4"
"15026"	"chr3"	112085834	112086835	"+"	"C3orf52"
"15210"	"chr6"	113856861	113857862	"+"	"MARCKS"
"15329"	"chr6"	116253639	116254640	"-"	"TSPYL4"
"15441"	"chr8"	118111352	118112353	"-"	"EXT1"
"15482"	"chr4"	118850187	118851188	"+"	"SYNPO2"
"15498"	"chr11"	119018190	119019191	"-"	"RPS25"
"15554"	"chr2"	119429400	119430401	"+"	"TMEM37"
"15832"	"chr8"	122780893	122781894	"+"	"ZHX2"
"16193"	"chr9"	127980012	127981013	"-"	"FAM102A"
"16201"	"chr5"	128083265	128084266	"+"	"SLC12A2"
"16229"	"chr3"	128492684	128493685	"-"	"GATA2"
"16231"	"chr6"	128520173	128521174	"-"	"PTPRK"
"16320"	"chr9"	129752546	129753547	"-"	"PTGES"
"16339"	"chrX"	129980606	129981607	"+"	"BCORL1"
"16384"	"chr9"	130444428	130445429	"+"	"ASS1"
"16688"	"chr5"	134648288	134649289	"+"	"SEC24A"
"16713"	"chr5"	135034312	135035313	"-"	"PITX1"
"16785"	"chr9"	136094784	136095785	"-"	"NACC2"
"16804"	"chr9"	136399667	136400668	"-"	"SNAPC4"
"16842"	"chr9"	136944195	136945196	"-"	"FBXW5"
"16872"	"chr6"	137218948	137219949	"-"	"IFNGR1"
"16934"	"chr7"	138459833	138460834	"+"	"TRIM24"
"17309"	"chr6"	144150025	144151026	"+"	"STX11"
"17384"	"chr1"	145859335	145860336	"-"	"PIAS3"
"17590"	"chr7"	150322138	150323139	"+"	"LRRC61"
"17592"	"chr7"	150329288	150330289	"+"	"ZBED6CL"
"17596"	"chrX"	150360921	150361922	"+"	"MAMLD1"
"17598"	"chr7"	150367688	150368689	"+"	"REPIN1"
"17618"	"chr5"	150600579	150601580	"+"	"SYNPO"
"17685"	"chr1"	151194820	151195821	"-"	"VPS72"
"17715"	"chr4"	151408715	151409716	"+"	"FAM160A1"
"18071"	"chr1"	156006569	156007570	"-"	"ARHGEF2"
"18077"	"chr1"	156081497	156082498	"-"	"MEX3A"
"18388"	"chr6"	163413499	163414500	"+"	"QKI"
"18587"	"chr5"	171419155	171420156	"+"	"FGF18"
"18623"	"chr3"	172710717	172711718	"-"	"NCEH1"
"18817"	"chr5"	179805897	179806898	"+"	"SQSTM1"
"18998"	"chr4"	186726221	186727222	"-"	"FAT1"
"19165"	"chr1"	200409555	200410556	"-"	"ZNF281"
"19177"	"chr1"	200890547	200891548	"+"	"C1orf106"
"19285"	"chr1"	206023408	206024409	"-"	"CTSE"
"19392"	"chr2"	215137927	215138928	"-"	"ABCA12"
"19394"	"chr2"	215435671	215436672	"-"	"FN1"
"19418"	"chr2"	218269891	218270892	"+"	"PNKD"
"19670"	"chr1"	234609024	234610025	"-"	"IRF2BP2"
"19751"	"chr2"	241558220	241559221	"+"	"BOK"
"19754"	"chr1"	241639753	241640754	"-"	"CHML"
