"chr"	"start"	"end"	"strand"	"name"
"62"	"chr16"	249046	250047	"+"	"AC004754.3"
"63"	"chr20"	257235	258236	"+"	"DEFB132"
"64"	"chr12"	262372	263373	"-"	"SLC6A13"
"65"	"chr2"	263639	264640	"+"	"ACP1"
"66"	"chr2"	265897	266898	"-"	"SH3YL1"
"67"	"chr18"	267549	268550	"-"	"THOC1"
"68"	"chr16"	268226	269227	"+"	"ARHGDIG"
"69"	"chr5"	271120	272121	"+"	"PDCD6"
"70"	"chr16"	275479	276480	"-"	"RGS11"
"71"	"chrX"	276321	276822	"+"	"PLCXD1"
"72"	"chrY"	276321	276822	"+"	"PLCXD1_PAR_Y"
"73"	"chr11"	277864	278865	"+"	"NLRP6"
"74"	"chr16"	282651	283652	"+"	"PDIA2"
"75"	"chr2"	288350	289351	"-"	"ALKAL2"
"76"	"chr11"	288634	289635	"+"	"PGGHG"
"77"	"chr7"	289669	290670	"+"	"WI2-2373I1.1"
"78"	"chr20"	290277	291278	"-"	"C20orf96"
"79"	"chr19"	291003	292004	"-"	"PLPP2"
"80"	"chr6"	291629	292130	"+"	"DUSP22"
"81"	"chr20"	296467	297468	"+"	"ZCCHC3"
"82"	"chr11"	299025	300026	"-"	"IFITM5"
"83"	"chr5"	303675	304676	"+"	"AHRR"
"84"	"chr4"	304820	305821	"-"	"ZNF732"
"85"	"chr11"	307130	308131	"+"	"IFITM2"
"86"	"chr11"	313005	314006	"+"	"IFITM1"
"87"	"chrX"	318318	319319	"-"	"GTPBP6"
"88"	"chrY"	318318	319319	"-"	"GTPBP6_PAR_Y"
"89"	"chr20"	325094	326095	"+"	"SOX12"
"90"	"chr11"	327036	328037	"-"	"IFITM3"
"91"	"chr4"	337313	338314	"+"	"ZNF141"
"92"	"chr19"	344314	345315	"-"	"MIER2"
"93"	"chr20"	346281	347282	"+"	"NRSN2"
"94"	"chr16"	352172	353173	"-"	"AXIN1"
"95"	"chr20"	362334	363335	"+"	"TRIB3"
"96"	"chr11"	369295	370296	"+"	"B4GALNT4"
"97"	"chr16"	370026	371027	"-"	"MRPL28"
"98"	"chr19"	376169	377170	"-"	"THEG"
"99"	"chr17"	385753	386754	"-"	"RPH3AL"
"100"	"chrX"	386454	387455	"-"	"PPP2R3B"
"101"	"chrY"	386454	387455	"-"	"PPP2R3B_PAR_Y"
"102"	"chr16"	386612	387613	"-"	"TMEM8A"
"103"	"chr12"	388772	389773	"+"	"CCDC77"
"104"	"chr12"	388953	389954	"-"	"KDM5A"
"105"	"chr6"	391238	392239	"+"	"IRF4"
"106"	"chr11"	392113	393114	"+"	"PKP3"
"107"	"chr16"	396224	397225	"+"	"NME4"
"108"	"chr16"	401325	402326	"+"	"DECR2"
"109"	"chr8"	405927	406928	"+"	"FBXO25"
"110"	"chr20"	406997	407998	"+"	"RBCK1"
"111"	"chr19"	408669	409670	"-"	"C2CD4C"
"112"	"chr17"	409826	410827	"+"	"C17orf97"
"113"	"chr11"	416954	417955	"-"	"SIGIRR"
"114"	"chr16"	425118	426119	"+"	"RAB11FIP3"
"115"	"chr11"	441510	442511	"-"	"ANO9"
"116"	"chr5"	442657	443658	"+"	"EXOC3"
"117"	"chr17"	445438	446439	"-"	"RFLNB"
"118"	"chr11"	447767	448768	"+"	"PTDSS2"
"119"	"chr1"	451177	452178	"-"	"OR4F29"
"120"	"chr12"	459863	460864	"+"	"B4GALNT3"
"121"	"chr19"	460495	461496	"-"	"SHC2"
"122"	"chr20"	462052	463053	"-"	"TBC1D20"
"123"	"chr9"	469790	470791	"+"	"KANK1"
"124"	"chr19"	474482	475483	"-"	"ODF3L2"
"125"	"chr19"	488675	489676	"+"	"MADCAM1"
"126"	"chr4"	498655	499656	"-"	"ZNF721"
"127"	"chr4"	498709	499710	"+"	"PIGG"
"128"	"chr18"	500221	501222	"-"	"COLEC12"
"129"	"chr11"	506799	507800	"-"	"RNH1"
"130"	"chr19"	506996	507997	"+"	"TPGS1"
"131"	"chr7"	519795	520796	"-"	"PDGFA"
"132"	"chr5"	523831	524832	"-"	"SLC9A3"
"133"	"chr16"	527216	528217	"+"	"CAPN15"
"134"	"chr19"	531211	532212	"+"	"CDC34"
"135"	"chr11"	536786	537787	"-"	"HRAS"
"136"	"chr11"	537026	538027	"+"	"LRRC56"
"137"	"chr20"	543320	544321	"-"	"CSNK2A1"
"138"	"chr19"	543533	544534	"+"	"GZMM"
"139"	"chr8"	545280	546281	"-"	"TDRP"
"140"	"chr11"	559903	560904	"+"	"RASSF7"
"141"	"chr16"	559921	560922	"+"	"PRR35"
"142"	"chr11"	560278	561279	"-"	"LMNTD2"
"143"	"chr16"	566494	567495	"+"	"PIGQ"
"144"	"chr16"	566495	567496	"+"	"NHLRC4"
"145"	"chr19"	570776	571777	"+"	"BSG"
"146"	"chr11"	575985	576986	"+"	"PHRF1"
"147"	"chr18"	579856	580857	"+"	"CETN1"
"148"	"chr16"	588856	589857	"+"	"RAB40C"
"149"	"chr19"	589392	590393	"+"	"HCN2"
"150"	"chr18"	596487	597488	"+"	"CLUL1"
"151"	"chr20"	609897	610898	"-"	"TCF15"
"152"	"chr5"	611771	612772	"+"	"CEP72"
"153"	"chr11"	615498	616499	"-"	"IRF7"
"154"	"chrX"	623843	624844	"+"	"SHOX"
"155"	"chrY"	623843	624844	"+"	"SHOX_PAR_Y"
"156"	"chr4"	625083	626084	"+"	"PDE6B"
"157"	"chr11"	625577	626578	"-"	"CDHR5"
"158"	"chr11"	626642	627643	"-"	"SCT"
"159"	"chr16"	628738	629739	"+"	"WFIKKN1"
"160"	"chr19"	633103	634104	"-"	"POLRMT"
"161"	"chr16"	635865	636866	"-"	"METTL26"
"162"	"chr16"	636316	637317	"+"	"MCRIP2"
"163"	"chr11"	636792	637793	"+"	"DRD4"
"164"	"chr19"	639378	640379	"+"	"FGF22"
"165"	"chr16"	648810	649811	"+"	"WDR90"
"166"	"chr10"	649447	650448	"+"	"PRR26"
"167"	"chr20"	652869	653870	"-"	"SRXN1"
"168"	"chr6"	656462	657463	"-"	"HUS1B"
"169"	"chr18"	657103	658104	"+"	"TYMS"
"170"	"chr19"	662776	663777	"-"	"RNF126"
"171"	"chr12"	663278	664279	"-"	"NINJ2"
"172"	"chr16"	667585	668586	"+"	"RHOT2"
"173"	"chr4"	673079	674080	"+"	"MYL5"
"174"	"chr4"	673837	674838	"-"	"ATP5I"
"175"	"chr16"	675165	676166	"+"	"RHBDL1"
"176"	"chr20"	675299	676300	"-"	"RP5-850E9.3"
"177"	"chr20"	675678	676679	"-"	"SCRT2"
"178"	"chr19"	675864	676865	"+"	"FSTL3"
"179"	"chr2"	676938	677939	"-"	"TMEM18"
"180"	"chr16"	679723	680724	"+"	"STUB1"
"181"	"chr16"	684027	685028	"-"	"JMJD8"
"182"	"chr1"	686153	687154	"-"	"OR4F16"
"183"	"chr4"	688940	689941	"-"	"MFSD7"
"184"	"chr10"	689167	690168	"-"	"DIP2C"
"185"	"chr16"	689943	690944	"-"	"WDR24"
"186"	"chr6"	692610	693611	"-"	"EXOC2"
"187"	"chr5"	692894	693895	"-"	"TPPP"
"188"	"chr11"	693937	694938	"+"	"EPS8L2"
"189"	"chr11"	694927	695928	"+"	"TMEM80"
"190"	"chr19"	694997	695998	"-"	"PRSS57"
"191"	"chr4"	705247	706248	"+"	"PCGF3"
"192"	"chr16"	705328	706329	"-"	"FBXL16"
"193"	"chr11"	706214	707215	"-"	"DEAF1"
"194"	"chr19"	708438	709439	"+"	"PALM"
"195"	"chr18"	712175	713176	"-"	"ENOSF1"
"196"	"chr16"	714614	715615	"+"	"METRN"
"197"	"chr16"	720080	721081	"+"	"FAM173A"
"198"	"chr17"	721216	722217	"-"	"VPS53"
"199"	"chr7"	726200	727201	"+"	"DNAAF5"
"200"	"chr16"	726435	727436	"+"	"HAGHL"
"201"	"chr16"	726453	727454	"-"	"CCDC78"
"202"	"chr7"	727149	728150	"-"	"PRKAR1B"
"203"	"chr17"	731911	732912	"+"	"FAM57A"
"204"	"chr8"	737095	738096	"+"	"DLGAP2"
"205"	"chr8"	737605	738606	"-"	"ERICH1"
"206"	"chr16"	740828	741829	"-"	"NARFL"
"207"	"chr11"	746828	747829	"+"	"TALDO1"
"208"	"chr19"	750625	751626	"+"	"MISP"
"209"	"chr12"	752092	753093	"+"	"WNK1"
"210"	"chr17"	753498	754499	"-"	"GEMIN4"
"211"	"chr16"	760261	761262	"+"	"MSLN"
"212"	"chr5"	766451	767452	"-"	"ZDHHC11B"
"213"	"chr20"	775514	776515	"-"	"SLC52A3"
"214"	"chr11"	776987	777988	"-"	"PDDC1"
"215"	"chr17"	781772	782773	"+"	"MRM3"
"216"	"chr16"	782869	783870	"-"	"MSLNL"
"217"	"chr17"	782889	783890	"-"	"GLOD4"
"218"	"chr16"	787545	788546	"+"	"CHTF18"
"219"	"chr16"	787896	788897	"-"	"RPUSD1"
"220"	"chr11"	789622	790623	"-"	"CEND1"
"221"	"chr19"	796574	797575	"+"	"PTBP1"
"222"	"chr11"	797010	798011	"+"	"PANO1"
"223"	"chr11"	797832	798833	"-"	"SLC25A22"
"224"	"chr16"	800232	801233	"-"	"GNG13"
"225"	"chr16"	804942	805943	"+"	"PRR25"
"226"	"chr11"	809146	810147	"+"	"RPLP2"
"227"	"chr11"	809252	810253	"-"	"PIDD1"
"228"	"chr18"	812045	813046	"-"	"YES1"
"229"	"chr7"	816114	817115	"+"	"SUN1"
"230"	"chr11"	818401	819402	"+"	"PNPLA2"
"231"	"chr19"	821476	822477	"-"	"PLPPR3"
"232"	"chr19"	824596	825597	"+"	"AZU1"
"233"	"chr11"	825643	826644	"+"	"CRACR2B"
"234"	"chr4"	825697	826698	"-"	"CPLX1"
"235"	"chr11"	832342	833343	"+"	"CD151"
"236"	"chr20"	833214	834215	"+"	"FAM110A"
"237"	"chr19"	840459	841460	"+"	"PRTN3"
"238"	"chr9"	841189	842190	"+"	"DMRT1"
"239"	"chr11"	842044	843045	"-"	"POLR2L"
"240"	"chr11"	842307	843308	"+"	"TSPAN4"
"241"	"chr5"	850485	851486	"-"	"ZDHHC11"
"242"	"chr19"	850513	851514	"+"	"ELANE"
"243"	"chr19"	859142	860143	"+"	"CFD"
"244"	"chr7"	876051	877052	"+"	"GET4"
"245"	"chr5"	892142	893143	"+"	"TRIP13"
"246"	"chr5"	892323	893324	"-"	"BRD9"
"247"	"chr19"	892717	893718	"-"	"MED16"
"248"	"chr18"	904442	905443	"+"	"ADCYAP1"
"249"	"chr19"	912744	913745	"-"	"R3HDM4"
"250"	"chr11"	914557	915558	"-"	"CHID1"
"251"	"chr20"	915816	916817	"-"	"ANGPT4"
"252"	"chr19"	916786	917787	"+"	"KISS1R"
"253"	"chr1"	923427	924428	"+"	"SAMD11"
"254"	"chr11"	924393	925394	"+"	"AP2A2"
"255"	"chr19"	925280	926281	"+"	"ARID3A"
"256"	"chr10"	931204	932205	"-"	"LARP4B"
"257"	"chr4"	931872	932873	"-"	"GAK"
"258"	"chr4"	931886	932887	"+"	"TMEM175"
"259"	"chr2"	950367	951368	"+"	"SNTG2"
"260"	"chr7"	954906	955907	"-"	"ADAP1"
"261"	"chr1"	958808	959809	"-"	"NOC2L"
"262"	"chr1"	960086	961087	"+"	"KLHL17"
"263"	"chr1"	965996	966997	"+"	"PLEKHN1"
"264"	"chr7"	975098	976099	"-"	"COX19"
"265"	"chr9"	976463	977464	"+"	"DMRT3"
"266"	"chr17"	979269	980270	"-"	"NXN"
"267"	"chr16"	980817	981818	"-"	"LMF1"
"268"	"chr16"	981307	982308	"+"	"SOX8"
"269"	"chr1"	981592	982593	"-"	"PERM1"
"270"	"chr7"	982698	983699	"+"	"CYP2W1"
"271"	"chr19"	983770	984771	"+"	"WDR18"
"272"	"chr4"	986394	987395	"-"	"DGKQ"
"273"	"chr4"	986496	987497	"+"	"IDUA"
"274"	"chr10"	987518	988519	"+"	"GTPBP4"
"275"	"chr12"	989552	990553	"-"	"RAD52"
"276"	"chr12"	990008	991009	"+"	"ERC1"
"277"	"chr4"	992939	993940	"-"	"SLC26A1"
"278"	"chr17"	996616	997617	"+"	"TIMM22"
"279"	"chr1"	999671	1000672	"-"	"HES4"
"280"	"chr19"	999918	1000919	"+"	"GRIN3B"
"281"	"chr1"	1000637	1001638	"+"	"ISG15"
"282"	"chr20"	1001763	1002764	"-"	"RSPO4"
"283"	"chr5"	1008328	1009329	"+"	"NKD2"
"284"	"chr4"	1009435	1010436	"+"	"FGFRL1"
"285"	"chr1"	1019622	1020623	"+"	"AGRN"
"286"	"chr19"	1020678	1021679	"-"	"TMEM259"
"287"	"chr10"	1025358	1026359	"-"	"IDI2"
"288"	"chr19"	1026080	1027081	"+"	"CNN2"
"289"	"chr11"	1036205	1037206	"-"	"MUC6"
"290"	"chr19"	1039600	1040601	"+"	"ABCA7"
"291"	"chr7"	1044075	1045076	"+"	"GPR146"
"292"	"chr10"	1048669	1049670	"-"	"IDI1"
"293"	"chr10"	1049037	1050038	"+"	"WDR37"
"294"	"chr9"	1049357	1050358	"+"	"DMRT2"
"295"	"chr19"	1065422	1066423	"+"	"ARHGAP45"
"296"	"chr1"	1073806	1074807	"-"	"RNF223"
"297"	"chr16"	1078280	1079281	"+"	"SSTR5"
"298"	"chr7"	1081707	1082708	"+"	"GPER1"
"299"	"chr3"	1092075	1093076	"+"	"CNTN6"
"300"	"chr19"	1094879	1095880	"-"	"POLR2E"
"301"	"chr16"	1095743	1096744	"-"	"C1QTNF8"
"302"	"chr19"	1103425	1104426	"+"	"GPX4"
"303"	"chr5"	1111534	1112535	"-"	"SLC12A7"
"304"	"chr20"	1112762	1113763	"+"	"PSMF1"
"305"	"chr4"	1113061	1114062	"-"	"RNF212"
"306"	"chr1"	1115860	1116861	"-"	"C1orf159"
"307"	"chr7"	1137759	1138760	"-"	"C7orf50"
"308"	"chr16"	1152620	1153621	"+"	"CACNA1H"
"309"	"chr11"	1157452	1158453	"+"	"MUC5AC"
"310"	"chr7"	1160258	1161259	"-"	"ZFAND2A"
"311"	"chr1"	1173383	1174384	"+"	"TTLL10"
"312"	"chr19"	1173782	1174783	"-"	"SBNO2"
"313"	"chr19"	1177057	1178058	"+"	"STK11"
"314"	"chr20"	1184914	1185915	"-"	"TMEM74B"
"315"	"chr5"	1201094	1202095	"+"	"SLC6A19"
"316"	"chr20"	1202953	1203954	"+"	"C20orf202"
"317"	"chr1"	1206190	1207191	"-"	"TNFRSF18"
"318"	"chr4"	1208461	1209462	"-"	"SPON2"
"319"	"chrX"	1212249	1213250	"-"	"CRLF2"
"320"	"chrY"	1212249	1213250	"-"	"CRLF2_PAR_Y"
"321"	"chr1"	1213637	1214638	"-"	"TNFRSF4"
"322"	"chr11"	1222565	1223566	"+"	"MUC5B"
"323"	"chr16"	1224756	1225757	"-"	"TPSG1"
"324"	"chr5"	1224854	1225855	"+"	"SLC6A18"
"325"	"chr20"	1225555	1226556	"+"	"RAD21L1"
"326"	"chr17"	1228520	1229521	"-"	"ABR"
"327"	"chr16"	1229683	1230684	"-"	"TPSB2"
"328"	"chr1"	1231530	1232531	"-"	"SDF4"
"329"	"chr1"	1231764	1232765	"+"	"B3GALT6"
"330"	"chr7"	1232406	1233407	"+"	"UNCX"
"331"	"chr19"	1237526	1238527	"-"	"CBARP"
"332"	"chr16"	1240195	1241196	"+"	"TPSAB1"
"333"	"chr19"	1241245	1242246	"+"	"ATP5D"
"334"	"chr1"	1246221	1247222	"-"	"C1QTNF12"
"335"	"chr19"	1248052	1249053	"+"	"MIDN"
"336"	"chr4"	1249452	1250453	"-"	"CTBP1"
"337"	"chr16"	1255558	1256559	"+"	"TPSD1"
"338"	"chr19"	1258883	1259884	"+"	"CIRBP"
"339"	"chr20"	1265815	1266816	"+"	"SNPH"
"340"	"chrX"	1268299	1269300	"+"	"CSF2RA"
"341"	"chrY"	1268299	1269300	"+"	"CSF2RA_PAR_Y"
"342"	"chr17"	1270058	1271059	"+"	"BHLHA9"
"343"	"chr1"	1273384	1274385	"-"	"UBE2J2"
"344"	"chr19"	1274937	1275938	"+"	"C19orf24"
"345"	"chr17"	1279162	1280163	"+"	"TUSC5"
"346"	"chr1"	1279935	1280936	"+"	"SCNN1D"
"347"	"chr19"	1285653	1286654	"+"	"EFNA2"
"348"	"chr4"	1289350	1290351	"+"	"MAEA"
"349"	"chr5"	1294568	1295569	"-"	"TERT"
"350"	"chr1"	1308066	1309067	"+"	"PUSL1"
"351"	"chr16"	1308379	1309380	"+"	"UBE2I"
"352"	"chr1"	1309108	1310109	"-"	"ACAP3"
"353"	"chr11"	1309153	1310154	"-"	"TOLLIP"
"354"	"chr6"	1311939	1312940	"+"	"FOXQ1"
"355"	"chr1"	1324190	1325191	"-"	"INTS11"
"356"	"chr1"	1324255	1325256	"+"	"CPTP"
"357"	"chr20"	1328738	1329739	"-"	"SDCBP2"
"358"	"chr1"	1330813	1331814	"+"	"TAS1R3"
"359"	"chr16"	1333100	1334101	"+"	"BAIAP3"
"360"	"chrX"	1336115	1337116	"+"	"IL3RA"
"361"	"chrY"	1336115	1337116	"+"	"IL3RA_PAR_Y"
"362"	"chr5"	1344598	1345599	"-"	"CLPTM1L"
"363"	"chr4"	1346765	1347766	"+"	"UVSSA"
"364"	"chr1"	1348849	1349850	"-"	"DVL1"
"365"	"chr16"	1351410	1352411	"-"	"TSR3"
"366"	"chr16"	1351422	1352423	"+"	"GNPTG"
"367"	"chr19"	1354210	1355211	"+"	"MUM1"
"368"	"chr1"	1361276	1362277	"-"	"MXRA8"
"369"	"chr2"	1373722	1374723	"+"	"TPO"
"370"	"chr1"	1374994	1375995	"-"	"AURKAIP1"
"371"	"chr19"	1383026	1384027	"+"	"NDUFS7"
"372"	"chr6"	1389333	1390334	"+"	"FOXF2"
"373"	"chr11"	1389398	1390399	"+"	"BRSK2"
"374"	"chr4"	1391051	1392052	"+"	"CRIPAK"
"375"	"chrX"	1392223	1393224	"-"	"SLC25A6"
"376"	"chrY"	1392223	1393224	"-"	"SLC25A6_PAR_Y"
"377"	"chr20"	1392595	1393596	"-"	"RP11-314N13.10"
"378"	"chr20"	1392671	1393672	"-"	"FKBP1A"
"379"	"chr1"	1398827	1399828	"-"	"CCNL2"
"380"	"chr17"	1399877	1400878	"-"	"YWHAE"
"381"	"chr19"	1401069	1402070	"-"	"GAMT"
"382"	"chr4"	1405830	1406831	"-"	"NKX1-1"
"383"	"chr1"	1406812	1407813	"-"	"MRPL20"
"384"	"chr19"	1407068	1408069	"+"	"DAZAP1"
"385"	"chr16"	1414250	1415251	"-"	"UNKL"
"386"	"chr16"	1420299	1421300	"-"	"C16orf91"
"387"	"chr1"	1421268	1422269	"-"	"ANKRD65"
"388"	"chr1"	1425627	1426628	"+"	"TMEM88B"
"389"	"chr16"	1430534	1431535	"+"	"LA16c-312E8.5"
"390"	"chr1"	1434360	1435361	"+"	"VWA1"
"391"	"chr19"	1437857	1438858	"+"	"RPS15"
"392"	"chr16"	1444055	1445056	"-"	"CCDC154"
"393"	"chr5"	1444929	1445930	"-"	"SLC6A3"
"394"	"chr19"	1445801	1446802	"+"	"APC2"
"395"	"chr1"	1449188	1450189	"+"	"ATAD3C"
"396"	"chrX"	1453261	1454262	"-"	"ASMTL"
"397"	"chrY"	1453261	1454262	"-"	"ASMTL_PAR_Y"
"398"	"chr7"	1459001	1460002	"-"	"MICALL2"
"399"	"chr17"	1462661	1463662	"-"	"CRK"
"400"	"chr1"	1471268	1472269	"+"	"ATAD3B"
"401"	"chr20"	1473341	1474342	"-"	"NSFL1C"
"402"	"chr16"	1475079	1476080	"-"	"CLCN7"
"403"	"chr19"	1479055	1480056	"-"	"C19orf25"
"404"	"chr16"	1488480	1489481	"-"	"PTX4"
"405"	"chr19"	1490246	1491247	"+"	"REEP6"
"406"	"chr19"	1490251	1491252	"-"	"PCSK4"
"407"	"chr20"	1491086	1492087	"-"	"SIRPB2"
"408"	"chr17"	1492311	1493312	"-"	"MYO1C"
"409"	"chr16"	1492843	1493844	"+"	"TELO2"
"410"	"chr11"	1500746	1501747	"-"	"MOB2"
"411"	"chr7"	1503866	1504867	"-"	"INTS1"
"412"	"chr1"	1511650	1512651	"+"	"ATAD3A"
"413"	"chr19"	1513103	1514104	"-"	"ADAMTSL5"
"414"	"chr17"	1516387	1517388	"-"	"INPP5K"
"415"	"chr5"	1523476	1524477	"-"	"LPCAT1"
"416"	"chr19"	1523573	1524574	"+"	"PLK5"
"417"	"chr16"	1528187	1529188	"+"	"TMEM204"
"418"	"chr12"	1529390	1530391	"+"	"WNT5B"
"419"	"chr7"	1530213	1531214	"+"	"MAFK"
"420"	"chrX"	1536606	1537607	"-"	"P2RY8"
"421"	"chrY"	1536606	1537607	"-"	"P2RY8_PAR_Y"
"422"	"chr1"	1539952	1540953	"-"	"TMEM240"
"423"	"chr20"	1558342	1559343	"-"	"SIRPD"
"424"	"chr7"	1560320	1561321	"-"	"TMEM184A"
"425"	"chr17"	1562315	1563316	"-"	"PITPNA"
"426"	"chr19"	1567557	1568558	"-"	"MEX3D"
"427"	"chr7"	1570504	1571505	"-"	"PSMG3"
"428"	"chr11"	1571419	1572420	"-"	"DUSP8"
"429"	"chr1"	1574368	1575369	"-"	"SSU72"
"430"	"chr11"	1584782	1585783	"-"	"KRTAP5-1"
"431"	"chrX"	1591092	1592093	"+"	"AKAP17A"
"432"	"chrY"	1591092	1592093	"+"	"AKAP17A_PAR_Y"
"433"	"chr19"	1592300	1593301	"-"	"MBD3"
"434"	"chr12"	1593664	1594665	"-"	"FBXL14"
"435"	"chr11"	1597793	1598794	"-"	"KRTAP5-2"
"436"	"chr1"	1599595	1600596	"-"	"FNDC10"
"437"	"chr19"	1604944	1605945	"-"	"AC005943.2"
"438"	"chr19"	1604989	1605990	"-"	"UQCR11"
"439"	"chr11"	1607962	1608963	"-"	"KRTAP5-3"
"440"	"chr6"	1609471	1610472	"+"	"FOXC1"
"441"	"chr16"	1611609	1612610	"-"	"IFT140"
"442"	"chr16"	1611824	1612825	"+"	"CRAMP1"
"443"	"chrX"	1614500	1615501	"+"	"ASMT"
"444"	"chrY"	1614500	1615501	"+"	"ASMT_PAR_Y"
"445"	"chr1"	1614914	1615915	"+"	"MIB2"
"446"	"chr20"	1619508	1620509	"-"	"RP4-576H24.4"
"447"	"chr20"	1619560	1620561	"-"	"SIRPB1"
"448"	"chr11"	1621637	1622638	"-"	"KRTAP5-4"
"449"	"chr17"	1628385	1629386	"-"	"SLC43A2"
"450"	"chr11"	1629274	1630275	"+"	"KRTAP5-5"
"451"	"chr1"	1631594	1632595	"+"	"MMP23B"
"452"	"chr16"	1631758	1632759	"+"	"LA16c-431H6.6"
"453"	"chr17"	1645246	1646247	"-"	"SCARF1"
"454"	"chr17"	1649576	1650577	"-"	"RILP"
"455"	"chr19"	1652104	1653105	"-"	"TCF3"
"456"	"chr20"	1657278	1658279	"-"	"SIRPG"
"457"	"chr1"	1658511	1659512	"-"	"CDK11B"
"458"	"chr16"	1677755	1678756	"+"	"HN1L"
"459"	"chr4"	1683801	1684802	"-"	"FAM53A"
"460"	"chr17"	1684381	1685382	"-"	"PRPF8"
"461"	"chr7"	1687618	1688619	"+"	"ELFN1"
"462"	"chr12"	1688073	1689074	"+"	"ADIPOR2"
"463"	"chr1"	1692227	1693228	"-"	"SLC35E2B"
"464"	"chr11"	1696694	1697695	"+"	"KRTAP5-6"
"465"	"chr16"	1705682	1706683	"+"	"MAPK8IP3"
"466"	"chr17"	1709937	1710938	"-"	"TLCD2"
"467"	"chr4"	1712054	1713055	"-"	"SLBP"
"468"	"chr17"	1716022	1717023	"+"	"WDR81"
"469"	"chr4"	1720857	1721858	"-"	"TMEM129"
"470"	"chr4"	1720989	1721990	"+"	"TACC3"
"471"	"chr1"	1723823	1724824	"-"	"CDK11A"
"472"	"chr10"	1736975	1737976	"-"	"ADARB2"
"473"	"chr17"	1742335	1743336	"+"	"SERPINF2"
"474"	"chr2"	1744351	1745352	"-"	"PXDN"
"475"	"chr1"	1745491	1746492	"-"	"SLC35E2"
"476"	"chr11"	1750090	1751091	"-"	"IFITM10"
"477"	"chr19"	1751872	1752873	"+"	"ONECUT3"
"478"	"chr8"	1755277	1756278	"+"	"CLN8"
"479"	"chr17"	1761458	1762459	"+"	"SERPINF1"
